items,category,amazon,ajio,myntra,
shirt,casual,https://www.amazon.in/s?k=shirt&crid=1J98M7UF8BU6C&sprefix=shirt%2Caps%2C204&ref=nb_sb_noss_1,https://www.ajio.com/men-shirts/c/830216013,https://www.myntra.com/shirts-men?rawQuery=Shirts%20Men,1
pant,causal,https://www.amazon.in/s?k=pants+for+men&crid=ZG7AXUCW4K51&sprefix=pa%2Caps%2C212&ref=nb_sb_ss_ts-doa-p_2_2,https://www.ajio.com/men-trousers-pants/c/830216004,https://www.myntra.com/pants-for-men?f=Categories%3ATrousers&rawQuery=pants%20for%20men,2
jeans,casual,https://www.amazon.in/s?k=jeans&crid=3936A99QZENHP&sprefix=jeans%2Caps%2C214&ref=nb_sb_noss_1,https://www.ajio.com/men-jeans/c/830216001,https://www.myntra.com/men-jeans,3
tshirt,casual,https://www.amazon.in/s?k=tshirt+for+men&crid=1GL9OF0400UI&sprefix=tshi%2Caps%2C222&ref=nb_sb_ss_ts-doa-p_1_4,https://www.ajio.com/men-tshirts/c/830216014,https://www.myntra.com/men-tshirts,4
kurta,traditional,https://www.amazon.in/s?k=kurta+for+men&crid=2TC2FX9ROF636&sprefix=kurta+%2Caps%2C228&ref=nb_sb_ss_ts-doa-p_2_6,https://www.ajio.com/s/men-kurtas-and-shirts-4390-76941,https://www.myntra.com/men-kurtas,5
suit,formal,https://www.amazon.in/s?k=suit+for+men&crid=1XMRPNXKF41LK&sprefix=suit%2Caps%2C317&ref=nb_sb_ss_ts-doa-p_3_4,1,https://www.myntra.com/men-suits,6
shirt pant ,formal,https://www.amazon.in/s?k=shirt+pant+for+men&crid=2LZZIMXR7NSAK&sprefix=shirt+pant+for+men%2Caps%2C226&ref=nb_sb_noss_1 ,2,,7
2 piece suit ,formal,https://www.amazon.in/s?k=2+piece+suit+for+men&crid=19VNNAWA4MPMC&sprefix=2+pi%2Caps%2C229&ref=nb_sb_ss_ts-doa-p_1_4,3,https://www.myntra.com/2-pices-suit-for-men?rawQuery=2%20pices%20suit%20for%20men,8
jacket ,casual,https://www.amazon.in/s?k=jackets+for+men&crid=WOAZMJDSLKOP&sprefix=jackets+for+men%2Caps%2C192&ref=nb_sb_noss_1,https://www.ajio.com/men-jackets-coats/c/830216010 ,https://www.myntra.com/fancy-jackets-men?rawQuery=Fancy%20Jackets%20Men ,9
hoodie,casual,https://www.amazon.in/s?k=hoodie+for+men&crid=VCFXZ4RIM3TC&sprefix=%2Caps%2C219&ref=nb_sb_ss_recent_1_0_recent ,https://www.ajio.com/search/?text=hoodie%20men ,https://www.myntra.com/hoodie-men?rawQuery=hoodie%20men ,10
sherwani,traditional,https://www.amazon.in/s?k=sherwani&crid=1GV76Z615FXI4&sprefix=sherwani%2Caps%2C229&ref=nb_sb_noss_1 ,https://www.ajio.com/search/?text=sherwani ,https://www.myntra.com/sherwani ,11
sweatshirt,casual,https://www.amazon.in/s?k=sweatshirt&crid=3DBK578V4Q4PT&sprefix=sweatshirt%2Caps%2C226&ref=nb_sb_noss_1 ,https://www.ajio.com/men-sweatshirt-hoodies/c/830216011,https://www.myntra.com/men-sweatshirts,12
shorts,casual,https://www.amazon.in/s?k=shorts+for+men&crid=32EQ6O1GMHE37&sprefix=shorts+%2Caps%2C216&ref=nb_sb_ss_ts-doa-p_1_7 ,https://www.ajio.com/search/?text=shorts%20for%20men,https://www.myntra.com/mens-shorts,13
joggers,casual,https://www.amazon.in/s?k=joggers+for+men&crid=3NMEFLAGYTU5D&sprefix=joggers+for+men%2Caps%2C214&ref=nb_sb_noss_1 ,https://www.ajio.com/search/?text=joggers%20for%20men,https://www.myntra.com/men-trackpants ,14
,,,,,15
,,,,,16
,,,,,17
,,,,,18
,,,,,19
,,,,,20
,,,,,21
,,,,,22
,,,,,23
,,,,,24
